Index,Species,Group,Action_Priority,Action_Type,Delivery_mechanism,Classification
2,Aricia artaxerxes,Butterflies,Urgent,Survey or monitoring,NA,Landscape
4,Boloria selene,Butterflies,Urgent,General Habitat management,ELM,Landscape
5,Coenonympha pamphilus,Butterflies,Urgent,Survey or monitoring,NA,Landscape
6,Cupido minimus,Butterflies,Urgent,Survey or monitoring,NA,Landscape
7,Erynnis tages,Butterflies,Urgent,Survey or monitoring,NA,Landscape
9,Hamearis lucina,Butterflies,Urgent,General Habitat management,ELM,Landscape
10,Hipparchia semele,Butterflies,Urgent,Survey or monitoring,NA,Landscape
11,Lasiommata megera,Butterflies,Urgent,Survey or monitoring,NA,Landscape
12,Leptidea sinapis,Butterflies,Urgent,Survey or monitoring,NA,Landscape
13,Limenitis camilla,Butterflies,Urgent,Survey or monitoring,NA,Landscape
16,Melitaea cinxia,Butterflies,Urgent,General Habitat management,CSS,Landscape
17,Plebejus argus,Butterflies,Urgent,Survey or monitoring,NA,Landscape
18,Pyrgus malvae,Butterflies,Urgent,Survey or monitoring,NA,Landscape
19,Satyrium w-album,Butterflies,Urgent,Survey or monitoring,NA,Landscape
20,Thecla betulae,Butterflies,Urgent,Survey or monitoring,NA,Landscape
21,Thymelicus acteon,Butterflies,Urgent,Survey or monitoring,NA,Landscape
3,Anthus trivialis,Bird,Urgent,Research,NA,Landscape
6,Branta bernicla subsp. bernicla,Bird,Urgent,Research,NA,Landscape
11,Cuculus canorus,Bird,Urgent,Research,NA,Landscape
12,Dendrocopos minor subsp. comminutus,Bird,Urgent,Species management ,NA,Landscape
14,Emberiza citrinella,Bird,Urgent,Research,NA,Landscape
15,Emberiza schoeniclus,Bird,Urgent,Survey and monitoring,ELM,Landscape
16,Locustella luscinioides,Bird,Medium,General habitat management,NA,Landscape
17,Lullula arborea,Bird,Urgent,General habitat management,ELM,Landscape
18,Muscicapa striata,Bird,Urgent,Research,NA,Landscape
19,Numenius arquata,Bird,Urgent,Research,NA,Landscape
21,Passer domesticus,Bird,Urgent,Research,NA,Landscape
22,Passer montanus,Bird,Urgent,General habitat management,ELM,Landscape
23,Perdix perdix,Bird,Urgent,General habitat management,ELM,Landscape
24,Phylloscopus sibilatrix,Bird,Urgent,General habitat management,ELM,Landscape
25,Poecile palustris subsp. palustris/dresseri,Bird,Urgent,Research,NA,Landscape
28,Turdus torquatus,Bird,Urgent,Research,NA,Landscape
1,Lepus europaeus,Mammal,High,General habitat management,NELM,Landscape
3,Pipistrellus pygmaeus,Mammal,High,Policy or legislation,NELM,Landscape
4,Plecotus auritus,Mammal,High,General habitat management,NA,Landscape
5,Rhinolophus ferrumequinum,Mammal,High,Survey and monitoring,NA,Landscape
6,Rhinolophus hipposideros,Mammal,High,General habitat management,NA,Landscape
1,Acronicta psi,Moth,Medium,Research,NA,Landscape
2,Acronicta rumicis,Moth,Medium,Research,NA,Landscape
3,Agrochola lychnidis,Moth,Medium,Research,NA,Landscape
4,Allophyes oxyacanthae,Moth,Medium,Research,NA,Landscape
5,Amphipoea oculea,Moth,Medium,Research,NA,Landscape
6,Amphipyra tragopoginis,Moth,Medium,Research,NA,Landscape
7,Apamea anceps,Moth,Medium,Research,NA,Landscape
8,Apamea remissa,Moth,Medium,Research,NA,Landscape
9,Aporophyla lutulenta,Moth,Medium,Research,NA,Landscape
10,Arctia caja,Moth,Medium,Research,NA,Landscape
11,Asteroscopus sphinx,Moth,Medium,Research,NA,Landscape
12,Atethmia centrago,Moth,Medium,Research,NA,Landscape
13,Athetis pallustris,Moth,Urgent,Survey or monitoring,NA,Landscape
14,Brachylomia viminalis,Moth,Medium,Research,NA,Landscape
15,Caradrina morpheus,Moth,Medium,Research,NA,Landscape
16,Celaena haworthii,Moth,Medium,Research,NA,Landscape
17,Chesias legatella,Moth,Medium,Research,NA,Landscape
18,Chesias rufata,Moth,Medium,Research,NA,Landscape
19,Chiasmia clathrata,Moth,Medium,Research,NA,Landscape
21,Diarsia rubi,Moth,Medium,Research,NA,Landscape
22,Diloba caeruleocephala,Moth,Medium,Research,NA,Landscape
23,Ecliptopera silaceata,Moth,Medium,Research,NA,Landscape
24,Ennomos erosaria,Moth,Medium,Research,NA,Landscape
25,Ennomos fuscantaria,Moth,Medium,Research,NA,Landscape
26,Ennomos quercinaria,Moth,Medium,Research,NA,Landscape
27,Entephria caesiata,Moth,Medium,Research,NA,Landscape
28,Epirrhoe galiata,Moth,Medium,Research,NA,Landscape
29,Eugnorisma glareosa,Moth,Medium,Research,NA,Landscape
30,Eulithis mellinata,Moth,Medium,Research,NA,Landscape
32,Euxoa nigricans,Moth,Medium,Research,NA,Landscape
33,Euxoa tritici,Moth,Medium,Research,NA,Landscape
34,Graphiphora augur,Moth,Medium,Research,NA,Landscape
35,Hemistola chrysoprasaria,Moth,Medium,Research,NA,Landscape
36,Hepialus humuli,Moth,Medium,Research,NA,Landscape
37,Hoplodrina blanda,Moth,Medium,Research,NA,Landscape
38,Hydraecia micacea,Moth,Medium,Research,NA,Landscape
42,Lycia hirtaria,Moth,Medium,Research,NA,Landscape
43,Macaria wauaria,Moth,Medium,Research,NA,Landscape
44,Malacosoma neustria,Moth,Medium,Research,NA,Landscape
45,Melanchra persicariae,Moth,Medium,Research,NA,Landscape
46,Melanchra pisi,Moth,Medium,Research,NA,Landscape
