"Year","Index.Mprime","lowerCI.Mprime","upperCI.Mprime"
1970,100,95.7199721478249,104.548469244048
1971,79.3246726795159,75.3663415766629,83.4328292173587
1972,72.0377731888487,68.5416861419066,75.6917224385714
1973,73.3323801264399,70.1574116093467,76.7095960420815
1974,76.8167016555453,73.603494912016,80.1950153075596
1975,81.1823085642632,77.8835516076864,84.6193500740986
1976,85.1345279774971,81.9121048813409,88.4974676674956
1977,81.1510752967025,77.9798964965089,84.4282959806964
1978,76.5923024673517,73.642983587872,79.5940093736892
1979,72.25924397224,69.6648396373806,74.9393737496658
1980,69.7267431524905,67.1805392805879,72.3541898773419
1981,71.3655114973633,68.847931318076,73.9600763204788
1982,79.5441952110867,76.8960801366294,82.2802165044
1983,85.8569691164695,82.9557375252136,88.9159485653916
1984,86.2941596096342,83.5544586207638,89.1342977839298
1985,81.1407472897988,78.7045299493491,83.6085575473926
1986,76.3988131941824,74.0917280317033,78.7827097046688
1987,73.346503905471,71.2480607764468,75.5254100411185
1988,72.2953445798465,70.231450237712,74.3838888948422
1989,74.561850346211,72.36011193569,76.8191284515509
1990,76.075317589006,73.9832783634236,78.1619085469699
1991,76.7994307920926,74.6713691128991,78.9701963002628
1992,76.7137926638324,74.6047010130264,78.8800794444888
1993,73.5871597981813,71.7603256048343,75.4531297313046
1994,73.4477796633014,71.6130606665725,75.3771324838475
1995,75.3319625286905,73.4670964420685,77.3210420230091
1996,75.9063523511039,74.1762671514201,77.7215859081565
1997,72.6419789036753,70.8103880602927,74.5189985602773
1998,66.0696307168056,64.5279938487953,67.6564815868925
1999,60.1862294205976,58.8155983460479,61.5722675991063
2000,57.2949710198257,55.8773227056072,58.7367646321437
2001,58.9526065794018,57.5914484435571,60.3473944010358
2002,63.0582220999055,61.6393868035803,64.5253700480664
2003,67.7000991341399,66.0414029651652,69.3939440541029
2004,68.1715240896064,66.622237091718,69.7413200920532
2005,65.4760037627662,63.9894470371537,66.9744955849486
2006,63.4584559002146,61.9185532636053,64.9868211022833
2007,61.028721184386,59.6956779619281,62.4198130919088
2008,61.989102201825,60.5651085627143,63.4481146688689
2009,64.4048295867641,62.8804185588825,65.9628218990307
2010,64.6577492471784,63.2849975533145,66.0636914317148
2011,62.0468744259076,60.6252980900707,63.4749689979255
2012,57.6203128950799,56.2702439073222,59.0017200169589
2013,56.3662936004162,55.1297499461273,57.6009933413316
2014,54.9318866447284,53.6939103890157,56.2075974629632
2015,52.8608120328193,51.6422546426243,54.078255344131
2016,50.5558791274461,49.3564958430423,51.7798772462218
2017,49.2492546716336,48.0308877968974,50.4841280721208
2018,48.4415624054659,46.843258479266,50.1358774278201
